organism,avoidome_name,avoidome_uniprot_id,organism_uniprot_id,protein_name
rat,CYP1A2,P05177,P04799,CYP1A2
rat,AOX1,Q06278,Q9Z0U5,Aldehyde oxidase
rat,XDH,P47989,P22985,Xanthine oxidase
rat,MAOA,P21397,P21396,Monoamine oxidase A
rat,MAOB,P27338,P19643,Monoamine oxidase B
rat,ALDH1A1,P00352,P51647,ALDH1A1
rat,HSD11B1,P28845,P16232,HSD11B1
rat,AKR7A3,O95154,P38918,Aldehyde reductase
rat,FMO1,Q01740,P36365,FMO1
rat,AHR,P35869,P41738,AHR
rat,NR1I3,Q14994,Q9QUS1,CAR
rat,NR1I2,O75469,Q9R1A7,PXR
rat,SULT1A1,P50225,P17988,SULT1A1
rat,GSTA1,P08263,P00502,GSTA1
rat,OXA1L,Q15070,A0A8I6AQW6,HSA
rat,ORM1,P02763,P02764,Alpha1-acid glycoprotein
rat,KCNH2,Q12809,O08962,HERG (Kv11.1)
rat,SCN5A,Q14524,P15389,NaV1.5
rat,CACNB1,Q02641,P54283,Calcium L-channel
rat,CAV1,Q03135,P41350,CaV 1.2
rat,HTR2B,P41595,P30994,HTR2B
rat,SLC6A4,P31645,P31652,SERT
rat,DIDO1,Q9BTC0,A0A8I5ZXE0,DAT1
rat,SLC6A3,Q01959,P23977,SLC6A3
rat,SLC6A2,P23975,F1LNR9,NET noradrenaline transporter
rat,NAT8,Q9UHE5,Q9QXT3,NAT
rat,ADRA1A,P35348,P23944,Adrenergic receptor A1
rat,ADRA2A,P08913,P22909,Adrenergic receptor A2
rat,ADRB1,P08588,P18090,Adrenergic receptor B1
rat,ADRB2,P07550,P10608,Adrenergic receptor B2
rat,CNRIP1,Q96F85,Q5M7A7,Cannabinoid receptor CB1
rat,CNR2,P34972,Q9QZN9,Cannabinoid receptor CB2
rat,CHRM1,P11229,P08482,Muscarinic receptor M1
rat,CHRM2,P08172,P10980,Muscarinic receptor M2
rat,CHRM3,P20309,P08483,Muscarinic receptor M3
rat,CHRNA10,Q9GZZ6,Q9JLB5,nicotinic nAChR
rat,CHRNA9,Q9UGM1,P43144,nicotinic nAChR
rat,CHRNA7,P36544,Q05941,nicotinic nAChR
rat,CHRNA3,P32297,P04757,nicotinic nAChR
rat,CHRNA5,P30532,P20420,nicotinic nAChR
rat,SMPDL3A,Q92484,Q641Z7,Phosphodiesterase 3A
rat,GABPA,Q06546,A0A8I6GML2,GABA alpha 1
rat,HRH1,P35367,P31390,Histamine H1
rat,SLCO2B1,O94956,Q9JHI3,OATP2B1
