Name,Alternative Names,UniProt ID,ChEMBL_target,,source,Function,Pathways
ALDH1A1,"AL1A1_HUMAN, Aldehyde dehydrogenase 1A1",P00352,CHEMBL3577,,list,"Cytosolic dehydrogenase that catalyzes the irreversible oxidation of a wide range of aldehydes to their corresponding carboxylic acid (PubMed:12941160, PubMed:15623782, PubMed:17175089, PubMed:19296407, PubMed:25450233, PubMed:26373694). Functions downstream of retinol dehydrogenases and catalyzes the oxidation of retinaldehyde into retinoic acid, the second step in the oxidation of retinol/vitamin A into retinoic acid (By similarity). This pathway is crucial to control the levels of retinol and retinoic acid, two important molecules which excess can be teratogenic and cytotoxic (By similarity). Also oxidizes aldehydes resulting from lipid peroxidation like (E)-4-hydroxynon-2-enal/HNE, malonaldehyde and hexanal that form protein adducts and are highly cytotoxic. By participating for instance to the clearance of (E)-4-hydroxynon-2-enal/HNE in the lens epithelium prevents the formation of HNE-protein adducts and lens opacification (PubMed:12941160, PubMed:15623782, PubMed:19296407). Also functions downstream of fructosamine-3-kinase in the fructosamine degradation pathway by catalyzing the oxidation of 3-deoxyglucosone, the carbohydrate product of fructosamine 3-phosphate decomposition, which is itself a potent glycating agent that may react with lysine and arginine side-chains of proteins (PubMed:17175089). Also has an aminobutyraldehyde dehydrogenase activity and is probably part of an alternative pathway for the biosynthesis of GABA/4-aminobutanoate in midbrain, thereby playing a role in GABAergic synaptic transmission (By similarity)",R-HSA-5365859; R-HSA-70350; R-HSA-71384
Alcohol dehydrogenase 1A,"ADH1A_HUMAN, Alcohol dehydrogenase 1A",P07327,CHEMBL1970,,list,Alcohol dehydrogenase (PubMed:2738060). Oxidizes primary as well as secondary alcohols. Ethanol is a very poor substrate (PubMed:2738060),R-HSA-2161541; R-HSA-5365859; R-HSA-71384
HSD11B1,"DHI1_HUMAN, 11-beta-hydroxysteroid dehydrogenase 1",P28845,CHEMBL4235,,list,"Controls the reversible conversion of biologically active glucocorticoids such as cortisone to cortisol, and 11-dehydrocorticosterone to corticosterone in the presence of NADP(H) (PubMed:10497248, PubMed:12460758, PubMed:14973125, PubMed:15152005, PubMed:15280030, PubMed:17593962, PubMed:21453287, PubMed:27927697, PubMed:30902677). Participates in the corticosteroid receptor-mediated anti-inflammatory response, as well as metabolic and homeostatic processes (PubMed:10497248, PubMed:12414862, PubMed:15152005, PubMed:21453287). Plays a role in the secretion of aqueous humor in the eye, maintaining a normotensive, intraocular environment (PubMed:11481269). Bidirectional in vitro, predominantly functions as a reductase in vivo, thereby increasing the concentration of active glucocorticoids (PubMed:10497248, PubMed:11481269, PubMed:12414862, PubMed:12460758). It has broad substrate specificity, besides glucocorticoids, it accepts other steroid and sterol substrates (PubMed:15095019, PubMed:15152005, PubMed:17593962, PubMed:21453287). Interconverts 7-oxo- and 7-hydroxy-neurosteroids such as 7-oxopregnenolone and 7beta-hydroxypregnenolone, 7-oxodehydroepiandrosterone (3beta-hydroxy-5-androstene-7,17-dione) and 7beta-hydroxydehydroepiandrosterone (3beta,7beta-dihydroxyandrost-5-en-17-one), among others (PubMed:17593962). Catalyzes the stereo-specific conversion of the major dietary oxysterol, 7-ketocholesterol (7-oxocholesterol), into the more polar 7-beta-hydroxycholesterol metabolite (PubMed:15095019, PubMed:15152005). 7-oxocholesterol is one of the most important oxysterols, it participates in several events such as induction of apoptosis, accumulation in atherosclerotic lesions, lipid peroxidation, and induction of foam cell formation (PubMed:15095019). Mediates the 7-oxo reduction of 7-oxolithocholate mainly to chenodeoxycholate, and to a lesser extent to ursodeoxycholate, both in its free form and when conjugated to glycine or taurine, providing a link between glucocorticoid activation and bile acid metabolism (PubMed:21453287). Catalyzes the synthesis of 7-beta-25-dihydroxycholesterol from 7-oxo-25-hydroxycholesterol in vitro, which acts as a ligand for the G-protein-coupled receptor (GPCR) Epstein-Barr virus-induced gene 2 (EBI2) and may thereby regulate immune cell migration (PubMed:30902677)",R-HSA-194002; R-HSA-9757110
Aldehyde reductase,"ARK73_HUMAN, Aflatoxin B1 aldehyde reductase member 3",O95154,,no info,list,"Catalyzes the NADPH-dependent reduction of various carbonyl-containing compounds, including aldehydes, ketones, and toxic products from cellular metabolism or environmental exposure. Can reduce the dialdehyde form of aflatoxin B1 (AFB1) into alcohol derivatives, via monoaldehydes intermediates. Can reduce the dialdehyde form of aflatoxin B1 (AFB1) into alcohol derivatives, via monoaldehydes intermediates, thus preventing the formation of protein adducts that contribute to AFB1-induced toxicity",R-HSA-5423646
FMO1,"FMO1_HUMAN, Flavin-containing monooxygenase 1",Q01740,CHEMBL3430872,,list,"Broad spectrum monooxygenase that catalyzes the oxygenation of a wide variety of nitrogen- and sulfur-containing compounds including xenobiotics (PubMed:32156684). Catalyzes the S-oxygenation of hypotaurine to produce taurine, an organic osmolyte involved in cell volume regulation as well as a variety of cytoprotective and developmental processes (PubMed:32156684). In vitro, catalyzes the N-oxygenation of trimethylamine (TMA) to produce trimethylamine N-oxide (TMAO) and could therefore participate to the detoxification of this compound that is generated by the action of gut microbiota from dietary precursors such as choline, choline containing compounds, betaine or L-carnitine (By similarity)",R-HSA-1614558; R-HSA-217271
AHR,"AHR_HUMAN, Aryl hydrocarbon receptor",P35869,CHEMBL3201,,list,"Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer (PubMed:23275542, PubMed:30373764, PubMed:32818467, PubMed:7961644). Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE) (PubMed:23275542, PubMed:30373764, PubMed:7961644). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation (PubMed:12213388). Xenobiotics can act as ligands: upon xenobiotic-binding, activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene) (PubMed:7961644, PubMed:33193710). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons (PubMed:34521881, PubMed:7961644). Next to xenobiotics, natural ligands derived from plants, microbiota, and endogenous metabolism are potent AHR agonists (PubMed:18076143). Tryptophan (Trp) derivatives constitute an important class of endogenous AHR ligands (PubMed:32818467, PubMed:32866000). Acts as a negative regulator of anti-tumor immunity: indoles and kynurenic acid generated by Trp catabolism act as ligand and activate AHR, thereby promoting AHR-driven cancer cell motility and suppressing adaptive immunity (PubMed:32818467). Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1 (PubMed:28602820). Inhibits PER1 by repressing the CLOCK-BMAL1 heterodimer mediated transcriptional activation of PER1 (PubMed:28602820). The heterodimer ARNT:AHR binds to core DNA sequence 5'-TGCGTG-3' within the dioxin response element (DRE) of target gene promoters and activates their transcription (PubMed:28602820)",R-HSA-1989781; R-HSA-211945; R-HSA-211976; R-HSA-211981; R-HSA-8937144
CAR,"NR1I3_HUMAN, Nuclear receptor subfamily 1 group I member 3",Q14994,CHEMBL5503,,list,Binds and transactivates the retinoic acid response elements that control expression of the retinoic acid receptor beta 2 and alcohol dehydrogenase 3 genes. Transactivates both the phenobarbital responsive element module of the human CYP2B6 gene and the CYP3A4 xenobiotic response element,R-HSA-383280
PXR,"NR1I2_HUMAN, Nuclear receptor subfamily 1 group I member 2",O75469,CHEMBL3401,,list,"Nuclear receptor that binds and is activated by variety of endogenous and xenobiotic compounds. Transcription factor that activates the transcription of multiple genes involved in the metabolism and secretion of potentially harmful xenobiotics, drugs and endogenous compounds. Activated by the antibiotic rifampicin and various plant metabolites, such as hyperforin, guggulipid, colupulone, and isoflavones. Response to specific ligands is species-specific. Activated by naturally occurring steroids, such as pregnenolone and progesterone. Binds to a response element in the promoters of the CYP3A4 and ABCB1/MDR1 genes",R-HSA-383280; R-HSA-4090294
SULT1A1,"ST1A1_HUMAN, Sulfotransferase 1A1",P50225,CHEMBL1743291,,list,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of a wide variety of acceptor molecules bearing a hydroxyl or an amine group. Sulfonation increases the water solubility of most compounds, and therefore their renal excretion, but it can also result in bioactivation to form active metabolites. Displays broad substrate specificity for small phenolic compounds. Plays an important role in the sulfonation of endogenous molecules such as steroid hormones (PubMed:12471039, PubMed:16221673, PubMed:21723874, PubMed:22069470, PubMed:7834621). Mediates the sulfate conjugation of a variety of xenobiotics, including the drugs acetaminophen and minoxidil (By similarity). Mediates also the metabolic activation of carcinogenic N-hydroxyarylamines leading to highly reactive intermediates capable of forming DNA adducts, potentially resulting in mutagenesis (PubMed:7834621). May play a role in gut microbiota-host metabolic interaction. O-sulfonates 4-ethylphenol (4-EP), a dietary tyrosine-derived metabolite produced by gut bacteria. The product 4-EPS crosses the blood-brain barrier and may negatively regulate oligodendrocyte maturation and myelination, affecting the functional connectivity of different brain regions associated with the limbic system (PubMed:35165440). Catalyzes the sulfate conjugation of dopamine (PubMed:8093002). Catalyzes the sulfation of T4 (L-thyroxine/3,5,3',5'-tetraiodothyronine), T3 (3,5,3'-triiodothyronine), rT3 (3,3',5'-triiodothyronine) and 3,3'-T2 (3,3'-diiodothyronine), with a substrate preference of 3,3'-T2 > rT3 > T3 > T4 (PubMed:10199779)",R-HSA-156584; R-HSA-9753281
GSTA1,"GSTA1_HUMAN, Glutathione S-transferase A1",P08263,CHEMBL3409,,list,"Glutathione S-transferase that catalyzes the nucleophilic attack of the sulfur atom of glutathione on the electrophilic groups of a wide range of exogenous and endogenous compounds (Probable). Involved in the formation of glutathione conjugates of both prostaglandin A2 (PGA2) and prostaglandin J2 (PGJ2) (PubMed:9084911). It also catalyzes the isomerization of D5-androstene-3,17-dione (AD) into D4-androstene-3,17-dione and may therefore play an important role in hormone biosynthesis (PubMed:11152686). Through its glutathione-dependent peroxidase activity toward the fatty acid hydroperoxide (13S)-hydroperoxy-(9Z,11E)-octadecadienoate/13-HPODE it is also involved in the metabolism of oxidized linoleic acid (PubMed:16624487)",R-HSA-156590; R-HSA-189483; R-HSA-9748787; R-HSA-9818027
HSA,"OXA1L_HUMAN, Mitochondrial inner membrane protein OXA1L",Q15070,,no info,list,"Mitochondrial membrane insertase that mediates the cotranslational insertion of integral membrane proteins into the mitochondrial inner membrane (PubMed:17936786, PubMed:33602856, PubMed:7991568). Essential for the activity and assembly of cytochrome oxidase (PubMed:17936786, PubMed:7991568). Required for the correct biogenesis of ATP synthase and complex I in mitochondria (PubMed:17936786, PubMed:7991568)",R-HSA-5368286; R-HSA-5389840; R-HSA-5419276; R-HSA-6799198
Alpha1-acid glycoprotein,"A1AG1_HUMAN, Alpha-1-acid glycoprotein 1",P02763,CHEMBL4285,,list,Functions as a transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction,R-HSA-114608; R-HSA-6798695
HERG (Kv11.1),"KCNH2_HUMAN, Potassium voltage-gated channel subfamily H member 2",Q12809,CHEMBL240,,list,"Pore-forming (alpha) subunit of voltage-gated inwardly rectifying potassium channel (PubMed:10219239, PubMed:10753933, PubMed:10790218, PubMed:10837251, PubMed:11997281, PubMed:12063277, PubMed:18559421, PubMed:22314138, PubMed:22359612, PubMed:26363003, PubMed:27916661, PubMed:9230439, PubMed:9351446, PubMed:9765245). Channel properties are modulated by cAMP and subunit assembly (PubMed:10837251). Characterized by unusual gating kinetics by producing relatively small outward currents during membrane depolarization and large inward currents during subsequent repolarization which reflect a rapid inactivation during depolarization and quick recovery from inactivation but slow deactivation (closing) during repolarization (PubMed:10219239, PubMed:10753933, PubMed:10790218, PubMed:10837251, PubMed:11997281, PubMed:12063277, PubMed:18559421, PubMed:22314138, PubMed:22359612, PubMed:26363003, PubMed:27916661, PubMed:9230439, PubMed:9351446, PubMed:9765245). Forms a stable complex with KCNE1 or KCNE2, and that this heteromultimerization regulates inward rectifier potassium channel activity (PubMed:10219239, PubMed:9230439)",R-HSA-1296072; R-HSA-5576890
NaV1.5,"SCN5A_HUMAN, Sodium channel protein type 5 subunit alpha",Q14524,CHEMBL1980,,list,"Pore-forming subunit of Nav1.5, a voltage-gated sodium (Nav) channel that directly mediates the depolarizing phase of action potentials in excitable membranes. Navs, also called VGSCs (voltage-gated sodium channels) or VDSCs (voltage-dependent sodium channels), operate by switching between closed and open conformations depending on the voltage difference across the membrane. In the open conformation they allow Na(+) ions to selectively pass through the pore, along their electrochemical gradient. The influx of Na(+) ions provokes membrane depolarization, initiating the propagation of electrical signals throughout cells and tissues (PubMed:1309946, PubMed:21447824, PubMed:23085483, PubMed:23420830, PubMed:25370050, PubMed:26279430, PubMed:26392562, PubMed:26776555). Nav1.5 is the predominant sodium channel expressed in myocardial cells and it is responsible for the initial upstroke of the action potential in cardiac myocytes, thereby initiating the heartbeat (PubMed:11234013, PubMed:11804990, PubMed:12569159, PubMed:1309946). Required for normal electrical conduction including formation of the infranodal ventricular conduction system and normal action potential configuration, as a result of its interaction with XIRP2 (By similarity)",R-HSA-445095; R-HSA-5576892
Calcium L-channel,"CACB1_HUMAN, Voltage-dependent L-type calcium channel subunit beta-1",Q02641,CHEMBL3988638,complex,list,"Regulatory subunit of L-type calcium channels (PubMed:1309651, PubMed:15615847, PubMed:8107964). Regulates the activity of L-type calcium channels that contain CACNA1A as pore-forming subunit (By similarity). Regulates the activity of L-type calcium channels that contain CACNA1C as pore-forming subunit and increases the presence of the channel complex at the cell membrane (PubMed:15615847). Required for functional expression L-type calcium channels that contain CACNA1D as pore-forming subunit (PubMed:1309651). Regulates the activity of L-type calcium channels that contain CACNA1B as pore-forming subunit (PubMed:8107964)",R-HSA-112308; R-HSA-419037; R-HSA-5576892; R-HSA-5576893; R-HSA-9856532
CaV 1.2,"CAV1_HUMAN, Caveolin-1",Q03135,CHEMBL3808270,,list,May act as a scaffolding protein within caveolar membranes (PubMed:11751885). Forms a stable heterooligomeric complex with CAV2 that targets to lipid rafts and drives caveolae formation. Mediates the recruitment of CAVIN proteins (CAVIN1/2/3/4) to the caveolae (PubMed:19262564). Interacts directly with G-protein alpha subunits and can functionally regulate their activity (By similarity). Involved in the costimulatory signal essential for T-cell receptor (TCR)-mediated T-cell activation. Its binding to DPP4 induces T-cell proliferation and NF-kappa-B activation in a T-cell receptor/CD3-dependent manner (PubMed:17287217). Recruits CTNNB1 to caveolar membranes and may regulate CTNNB1-mediated signaling through the Wnt pathway (By similarity). Negatively regulates TGFB1-mediated activation of SMAD2/3 by mediating the internalization of TGFBR1 from membrane rafts leading to its subsequent degradation (PubMed:25893292). Binds 20(S)-hydroxycholesterol (20(S)-OHC) (By similarity),R-HSA-163560; R-HSA-203615; R-HSA-203641; R-HSA-210991; R-HSA-4641262; R-HSA-5218920; R-HSA-8980692; R-HSA-9009391; R-HSA-9013026; R-HSA-9013106; R-HSA-9013148; R-HSA-9013149; R-HSA-9013404; R-HSA-9013405; R-HSA-9013406; R-HSA-9013407; R-HSA-9013408; R-HSA-9013409; R-HSA-9013423; R-HSA-9035034; R-HSA-9617828; R-HSA-9696264; R-HSA-9696270; R-HSA-9696273; R-HSA-9735871; R-HSA-9755779
